grinning	😀	grinning face
hamster	🐹	hamster
rabbit	🐰	rabbit face
rabbit2	🐇	rabbit
chipmunk	🐿️	chipmunk
beaver	🦫	beaver
hedgehog	🦔	hedgehog
bat	🦇	bat
bear	🐻	bear
polar_bear	🐻‍❄️	polar bear
koala	🐨	koala
panda_face	🐼	panda
sloth	🦥	sloth
otter	🦦	otter
skunk	🦨	skunk
kangaroo	🦘	kangaroo
badger	🦡	badger
feet	🐾	paw prints
paw_prints	🐾	paw prints
turkey	🦃	turkey
chicken	🐔	chicken
rooster	🐓	rooster
hatching_chick	🐣	hatching chick
baby_chick	🐤	baby chick
hatched_chick	🐥	front-facing baby chick
bird	🐦	bird
penguin	🐧	penguin
dove	🕊️	dove
eagle	🦅	eagle
duck	🦆	duck
swan	🦢	swan
owl	🦉	owl
dodo	🦤	dodo
feather	🪶	feather
flamingo	🦩	flamingo
peacock	🦚	peacock
parrot	🦜	parrot
wing	🪽	wing
black_bird	🐦‍⬛	black bird
goose	🪿	goose
frog	🐸	frog
crocodile	🐊	crocodile
turtle	🐢	turtle
lizard	🦎	lizard
snake	🐍	snake
dragon_face	🐲	dragon face
dragon	🐉	dragon
sauropod	🦕	sauropod
t-rex	🦖	T-Rex
whale	🐳	spouting whale
whale2	🐋	whale
dolphin	🐬	dolphin
flipper	🐬	dolphin
seal	🦭	seal
fish	🐟	fish
tropical_fish	🐠	tropical fish
blowfish	🐡	blowfish
shark	🦈	shark
octopus	🐙	octopus
shell	🐚	spiral shell
coral	🪸	coral
jellyfish	🪼	jellyfish
snail	🐌	snail
butterfly	🦋	butterfly
bug	🐛	bug
ant	🐜	ant
bee	🐝	honeybee
honeybee	🐝	honeybee
beetle	🪲	beetle
lady_beetle	🐞	lady beetle
cricket	🦗	cricket
cockroach	🪳	cockroach
spider	🕷️	spider
spider_web	🕸️	spider web
scorpion	🦂	scorpion
mosquito	🦟	mosquito
fly	🪰	fly
worm	🪱	worm
microbe	🦠	microbe
bouquet	💐	bouquet
cherry_blossom	🌸	cherry blossom
white_flower	💮	white flower
lotus	🪷	lotus
rosette	🏵️	rosette
rose	🌹	rose
wilted_flower	🥀	wilted flower
hibiscus	🌺	hibiscus
sunflower	🌻	sunflower
blossom	🌼	blossom
tulip	🌷	tulip
hyacinth	🪻	hyacinth
seedling	🌱	seedling
potted_plant	🪴	potted plant
evergreen_tree	🌲	evergreen tree
deciduous_tree	🌳	deciduous tree
palm_tree	🌴	palm tree
cactus	🌵	cactus
ear_of_rice	🌾	sheaf of rice
herb	🌿	herb
shamrock	☘️	shamrock
four_leaf_clover	🍀	four leaf clover
maple_leaf	🍁	maple leaf
fallen_leaf	🍂	fallen leaf
leaves	🍃	leaf fluttering in wind
empty_nest	🪹	empty nest
nest_with_eggs	🪺	nest with eggs
mushroom	🍄	mushroom
grapes	🍇	grapes
melon	🍈	melon
watermelon	🍉	watermelon
tangerine	🍊	tangerine
orange	🍊	tangerine
mandarin	🍊	tangerine
lemon	🍋	lemon
banana	🍌	banana
pineapple	🍍	pineapple
mango	🥭	mango
apple	🍎	red apple
green_apple	🍏	green apple
pear	🍐	pear
peach	🍑	peach
cherries	🍒	cherries
strawberry	🍓	strawberry
blueberries	🫐	blueberries
kiwi_fruit	🥝	kiwi fruit
tomato	🍅	tomato
olive	🫒	olive
coconut	🥥	coconut
avocado	🥑	avocado
eggplant	🍆	eggplant
potato	🥔	potato
carrot	🥕	carrot
corn	🌽	ear of corn
hot_pepper	🌶️	hot pepper
bell_pepper	🫑	bell pepper
cucumber	🥒	cucumber
leafy_green	🥬	leafy green
broccoli	🥦	broccoli
garlic	🧄	garlic
onion	🧅	onion
peanuts	🥜	peanuts
beans	🫘	beans
chestnut	🌰	chestnut
ginger_root	🫚	ginger root
pea_pod	🫛	pea pod
bread	🍞	bread
croissant	🥐	croissant
baguette_bread	🥖	baguette bread
flatbread	🫓	flatbread
pretzel	🥨	pretzel
